complex_color,simple_color,rgb
cloudy blue,blue,"(172, 194, 217)"
dark pastel green,green,"(86, 174, 87)"
dust,beige,"(178, 153, 110)"
electric lime,green,"(168, 255, 4)"
fresh green,green,"(105, 216, 79)"
light eggplant,purple,"(137, 69, 133)"
nasty green,green,"(112, 178, 63)"
really light blue,blue,"(212, 255, 255)"
tea,green,"(101, 171, 124)"
warm purple,purple,"(149, 46, 143)"
yellowish tan,yellow,"(252, 252, 129)"
cement,grey,"(165, 163, 145)"
dark grass green,green,"(56, 128, 4)"
dusty teal,blue,"(76, 144, 133)"
grey teal,green,"(94, 155, 138)"
macaroni and cheese,orange,"(239, 180, 53)"
pinkish tan,pink,"(217, 155, 130)"
spruce,green,"(10, 95, 56)"
strong blue,blue,"(12, 6, 247)"
toxic green,green,"(97, 222, 42)"
windows blue,blue,"(55, 120, 191)"
blue blue,blue,"(34, 66, 199)"
blue with a hint of purple,purple,"(83, 60, 198)"
booger,green,"(155, 181, 60)"
bright sea green,green,"(5, 255, 166)"
dark green blue,green,"(31, 99, 87)"
deep turquoise,green,"(1, 115, 116)"
green teal,green,"(12, 181, 119)"
strong pink,pink,"(255, 7, 137)"
bland,beige,"(175, 168, 139)"
deep aqua,blue,"(8, 120, 127)"
lavender pink,purple,"(221, 133, 215)"
light moss green,green,"(166, 200, 117)"
light seafoam green,green,"(167, 255, 181)"
olive yellow,green,"(194, 183, 9)"
pig pink,pink,"(231, 142, 165)"
deep lilac,purple,"(150, 110, 189)"
desert,brown,"(204, 173, 96)"
dusty lavender,purple,"(172, 134, 168)"
purpley grey,purple,"(148, 126, 148)"
purply,purple,"(152, 63, 178)"
candy pink,pink,"(255, 99, 233)"
light pastel green,green,"(178, 251, 165)"
boring green,green,"(99, 179, 101)"
kiwi green,green,"(142, 229, 63)"
light grey green,green,"(183, 225, 161)"
orange pink,orange,"(255, 111, 82)"
tea green,green,"(189, 248, 163)"
very light brown,beige,"(211, 182, 131)"
egg shell,yellow,"(255, 252, 196)"
eggplant purple,purple,"(67, 5, 65)"
powder pink,pink,"(255, 178, 208)"
reddish grey,brown,"(153, 117, 112)"
liliac,purple,"(196, 142, 253)"
stormy blue,blue,"(80, 123, 156)"
ugly brown,brown,"(125, 113, 3)"
custard,yellow,"(255, 253, 120)"
darkish pink,pink,"(218, 70, 125)"
deep brown,brown,"(65, 2, 0)"
greenish beige,green,"(201, 209, 121)"
manilla,yellow,"(255, 250, 134)"
off blue,blue,"(86, 132, 174)"
battleship grey,grey,"(107, 124, 133)"
browny green,green,"(111, 108, 10)"
bruise,purple,"(126, 64, 113)"
kelley green,green,"(0, 147, 55)"
sickly yellow,yellow,"(208, 228, 41)"
sunny yellow,yellow,"(255, 249, 23)"
azul,blue,"(29, 93, 236)"
darkgreen,green,"(5, 73, 7)"
green/yellow,green,"(181, 206, 8)"
lichen,green,"(143, 182, 123)"
light light green,green,"(200, 255, 176)"
pale gold,orange,"(253, 222, 108)"
sun yellow,orange,"(255, 223, 34)"
tan green,green,"(169, 190, 112)"
burple,purple,"(104, 50, 227)"
butterscotch,orange,"(253, 177, 71)"
toupe,beige,"(199, 172, 125)"
dark cream,yellow,"(255, 243, 154)"
indian red,red,"(133, 14, 4)"
light lavendar,purple,"(239, 192, 254)"
poison green,green,"(64, 253, 20)"
baby puke green,green,"(182, 196, 6)"
bright yellow green,green,"(157, 255, 0)"
charcoal grey,grey,"(60, 65, 66)"
squash,orange,"(242, 171, 21)"
cinnamon,orange,"(172, 79, 6)"
light pea green,green,"(196, 254, 130)"
radioactive green,green,"(44, 250, 31)"
raw sienna,brown,"(154, 98, 0)"
baby purple,purple,"(202, 155, 247)"
cocoa,brown,"(135, 95, 66)"
light royal blue,blue,"(58, 46, 254)"
orangeish,orange,"(253, 141, 73)"
rust brown,brown,"(139, 49, 3)"
sand brown,beige,"(203, 165, 96)"
swamp,green,"(105, 131, 57)"
tealish green,green,"(12, 220, 115)"
burnt siena,brown,"(183, 82, 3)"
camo,green,"(127, 143, 78)"
dusk blue,blue,"(38, 83, 141)"
fern,green,"(99, 169, 80)"
old rose,pink,"(200, 127, 137)"
pale light green,green,"(177, 252, 153)"
peachy pink,pink,"(255, 154, 138)"
rosy pink,pink,"(246, 104, 142)"
light bluish green,green,"(118, 253, 168)"
light bright green,green,"(83, 254, 92)"
light neon green,green,"(78, 253, 84)"
light seafoam,green,"(160, 254, 191)"
tiffany blue,blue,"(123, 242, 218)"
washed out green,green,"(188, 245, 166)"
